lemma,pos,sense_source,sense_target,semantic_relationship
cat,noun,"Speiceas beag aclaí de mhamach feoiliteach ceathairchosach, ó nádúr sealgaire tréitheach an chlapsholais, a bhfuil clúmh mín agus ingne inghiorraithe aige. Tugtar Felis silvestris ar an gcineál fiáin agus Felis catus ar an gcineál atá ceansaithe ag an gcine daonna le fada an lá.",ainmhí tí a choinnítear mar pheata agus a mharaíonn lucha agus francaigh,broader
cat,noun,Ainmhithe gaolmhara den fhine Felidae nó ainmhithe eile atá cosúil le cait.,ainmhí tí a choinnítear mar pheata agus a mharaíonn lucha agus francaigh,broader
beoir,noun,"deoch mheisciúil a dhéantar (coipeadh) le huisce, braich, lus an leanna, agus fungas ar a dtugtar giosta.",deoch mheisciúil a dhéantar as braich,exact
sráid,noun,"Bóthar poiblí i gcathair, baile nó sráidbhaile a mbíonn cosáin agus foirgnimh ar a dhá thaobh go hiondúil.",bóthar (níos leithne ná lána) agus tithe ar thaobh amháin nó ar an dá thaobh de,narrower
sráid,noun,Talamh comhthromaithe nó lantán timpeall tí.,lantán taobh amuigh de theach,broader
grian,noun,Is í an Ghrian an réad is mó sa ghrianchóras.,an corpán spéire a thugann teas agus solas sa lá dúinn,broader
teilifís,noun,"Is é an rud atá i gceist leis an teilifís ná córas teileachumarsáide le pictiúir ghluaiste a chraoladh, ionas gur féidir iad a ghlacadh i bhfad ar shiúl ó áit a gcraolta leis an ngléas ar a dtugtar teilifíseán",teilgean pictiúr ó áit i bhfad i gcéin agus á dtabhairt amach ar scáileán le tonnta raidió,exact
giotár,noun,Is saghas uirlis ceoil é,gléas ceoil sé shreang a phioctar leis na méara,exact
péintéir,noun,"duine a phéinteálann rud, a chuireann péint ar rud.",duine a phéinteálann,exact
agus,conjunction,"Chomh maith le, mar aon le (mise agus tusa, a dó agus a trí, shuigh sé agus lig a scíth, ná mol agus ná cáin).","chomh maith le, mar aon le",exact
spideog,noun,(éaneolaíocht) Éin bheaga pasaireacha den ghéineas Erithacus a aimsítear go forleathan san Eoraip agus i dtuaisceart na hAfraice.,éan beag ceoil agus brollach dearg air,exact
le,preposition,"In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.","cois, in aice",exact
le,preposition,"Os comhair, ar aghaidh, ar oscailt roimh.",ar aghaidh,exact
le,preposition,Thar aghaidh.,ar aghaidh,related
le,preposition,Ar feadh.,ar feadh tréimhse áirithe,exact
le,preposition,Den ghluaiseacht chéanna.,in éineacht,related
le,preposition,I gcomhluadar.,in éineacht,related
le,preposition,"Ar thaobh, i bhfabhar.",i bhfabhar,related
le,preposition,I gcabhair.,le cabhair,related
le,preposition,Ar son.,"chun, le haghaidh  le + a = lena",narrower
le,preposition,"Ag, in aghaidh.","in aghaidh, chuig",exact
le,preposition,"I rith, i gcaitheamh, ar feadh.",ar feadh tréimhse áirithe,exact
le,preposition,"(Comhthromú, comparáid).",i gcomparáid,related
le,preposition,(Seilbh),"ag, i seilbh",exact
meantán,noun,(éaneolaíocht) éan den fhine Paridae,"éan beag a bhfuil cineálacha éagsúla de ann, mar atá, meantán dubh, gorm, lathaí, léana etc.",broader
eala,noun,"(éaneolaíocht) éan uisceach mór, le cleití bána agus gob oráiste de ghnáth.",éan mór stáidiúil uisce agus scrogall fada air,exact
péacóg,noun,(éaneolaíocht) éan den ghéineas Pavo.,éan mór agus cleití eireabaill áille air a thig leis a oscailt amach mar a bheadh fean ann,broader
péacóg,noun,"(fáthchiallach)cailín gléasta go feiceálach, cailín péacach.",cailín péacach,exact
mamach,noun,Is mamach é aon ainmhí a mbíonn bainne ag an máthair le tál ar an gceann óg.,aon ainmhí a mbíonn bainne ag an máthair le tál ar an gceann óg,exact
aibítir,noun,Is litreacha iad aibítir a bhaineann le teanga scríofa agus iad in ord áirithe,na litreacha ar fad a úsáidtear i dteanga agus iad in ord speisialta,exact
tríocha,numeral,A fiche móide a deich.,an uimhir 30,exact
bean,noun,duine baineann fásta.,duine baineann fásta,exact
bean,noun,céile mná.,céile mná,exact
abhus,adjective,Anseo.Ar an taobh seo.,ar an taobh seo,exact
anois,adverb,Ag an am seo.  San am i láthair.,san am i láthair,exact
arís,adverb,"Athuair, uair eile.","uair eile, athuair, ina dhiaidh sin",exact
arís,adverb,Ina dhiaidh sin; ag am éigin sa todhchaí.,"uair eile, athuair, ina dhiaidh sin",exact
arís,adverb,Fós.,fós,exact
crom,adjective,"Lúbtha, cromtha, dronn a bheith ort.","cromtha, lúbtha",exact
soicind,noun,"Is aonad ama é soicind (siombail: s). Is é 60 soicind nóiméad amháin, agus 3,600 soicind uair amháin.",an 60ú cuid de nóiméad (ama) nó de chéim (i dtomhas uillinneacha),narrower
aidiacht,noun,focal a úsáidtear le hainmfhocal chun cur síos a dhéanamh air nó a thréithe a mhíniú nó ciall bhreise a chur leis.,"focal a chuirtear le hainmfhocal chun ciall bhreise a chur leis, ar nós arán",exact
bata,noun,"maide, píosa fada caol adhmaid.","maide, píosa fada caol adhmaid",exact
bearna,noun,"Briseadh nó oscailt i mballa, i gclaí nó i bhfal; briseadh cosúil leis.",briseadh i gclaí nó i mballa ar féidir dul tríd,exact
bearnas,noun,Briseadh nó oscailt i sliabhraon; mám.,pasáiste trí shléibhte,related
im,noun,bia bog buí déanta d'uachtar bainne.,bia bog buí déanta d'uachtar bainne,exact
sail,noun,"Salachar, dras, eisíontas.",salachar,exact
moilleadóir,noun,"Duine mall righin, leadránaí, righneálaí.",duine mall righin,exact
beo,noun,neach ina bheatha.,"duine, neach, beo",exact
beo,noun,beatha.,beatha,exact
beo,noun,"feoil bhog leochaileach i mball an choirp, an fheoil faoin ionga mar shampla; an chuid lárnach leochaileach de rud nó duine.",feoil íogair faoi ionga,related
bonnán,noun,"Corn, troimpéad.","adharc, troimpéad",exact
bonnán,noun,"Fuaim láidir, búireach; glór a mar a dhéanann corn nó troimpéad.",glór mar a dhéanann adharc nó troimpéad,exact
inneach,noun,fíod An snáth a fhitear isteach agus amach trasna ar an dlúth.,(i bhfíodóireacht) an snáth a fhitear isteach agus amach trasna ar an dlúth,exact
bláth,noun,"Cuid phórach de phlanda a bhfuil orgáin atáirgthe ann (staimíní/cairpéil).  Go hiondúil, bíonn coróinín (daite) agus cailís (glas) mórthimpeall orthu.  In úsáid choiteann, a leithéid d'orgán agus é dathúil agus sofheicthe.",rud deas daite a fhásann ar phlanda (agus a dtagann toradh nó pór as),exact
bláth,noun,"Barr áilleachta, blás, sea.",barr áilleachta,exact
bláth,noun,"Rathúnas, flúirse.",rathúnas,exact
hidrigin,noun,dúil cheimiceach neamh-mhiotalach is ea í an hidrigin.,gás gan dath gan bhlas gan bholadh a thugann uisce nuair a chomhcheanglaítear le hocsaigin é (Is í an tsubstaint í is éadroime amuigh agus lasann sí go héasca),exact
ae,noun,Is orgán i veirteabraigh agus roinnt ainmhithe eile é an t-ae.,faireog mhór sa chorp agus leacht searbh inti a ghlanann an fhuil,exact
geimhreadh,noun,An ceathrú séasúr den bhliain.,an séasúr is fuaire den bhliain,exact
sráidbhaile,noun,Baile beag amuigh faoin tuath.,baile amuigh faoin tuath a bhfuil sráid ann,exact
pláinéad,noun,Is corpán spéire a thimpeallaíonn réalta agus nach réalta é pláinéad.,corpán spéire a thimpeallaíonn an ghrian mar a dhéanann an domhan,exact
sneachta,noun,Saghas aimsire ina dtiteann criostail de uisce reoite ón spéir.,braonta reoite uisce nó gal uisce a thiteann as an spéir ina gcalóga bána,exact
tíogar,noun,Panthera tigris.,"ainmhí mór uafásach de chineál an chait a fhaightear san Áise, a bhfuil fionnadh crón air agus stríoca dubha tríd",exact
coinneal,noun,Rud déanta as céir agus téad a lastar chun solas a sholáthar.,bata cruinn de gheir nó de chéir agus corda trína lár a lastar le solas a thabhairt,exact
lucharachán,noun,"Pigmí, abhac.",abhac de dhuine nó d'ainmhí,exact
lucharachán,noun,Abhac de shióg. leipreachán,abhac de shióg,exact
muir,noun,"Is corp fairsing uisce í an mhuir, a chlúdaíonn an mórchuid de dhromchla an domhain. farraige",farraige,exact
gadhar,noun,"ainmhí, ball den rang Canis atá ceansaithe ag an duine leis na mílte bliain. cú",madra,exact
abhainn,noun,Sruth mór uisce a ritheann isteach i loch nó san fharraige.,sruth mór uisce a ritheann isteach i loch nó san fharraige,exact
scallamán,noun,Éinín óg atá sa nead fós.,"éan neide, gearrcach",exact
cailín,noun,leanbh baineann.,páiste baineann,exact
cailín,noun,bean óg shingil.,bean óg shingil,exact
cailín,noun,"seirbhíseach mná, cailín aimsire.",seirbhíseach mná,exact
mo,article,An aidiacht sealbhach don chéad duine uatha.,"a bhaineann liom, ar liomsa é",exact
litir,noun,"An t-aonad is lú de theanga, cruth a chuireann fuaim áirithe in iúil.",marc scríofa a léiríonn fuaim chainte mar atá i litreacha na haibítre,exact
litir,noun,teachtaireacht scríofa a sheoltar chuig duine eile trén gcóras poist.,teachtaireacht scríofa faoi chlúdach,exact
imtharraingt,noun,"Dlí dobhriste nádúir is ea an imtharraingt. Déileálann sé leis an luasghéarú chuig a chéile idir dhá rud, ar bhonn an fhad eatarthu.","fórsa na tarraingthe i dtreo an domhain, nó idir chorpáin eile na spéire, a bhraitheann ar an achar atá siad ó chéile",exact
seanmháthair,noun,Sí máthair máthar duine a seanmháthair.,máthair athar nó máthar,exact
seanathair,noun,Athair athair duine.,athair athar nó máthar,exact
caisearbhán,noun,Fiaile le bláth buí.,planda fiáin comónta a bhfuil bláth buí agus duilleoga eangacha air,exact
nóinín,noun,Bláth beag le piotail bána agus lár buí.,bláth geal páirce agus croí buí ann,exact
leanbh,noun,"Duine óg, gan cumas siúil go fóill.","duine beag óg, páiste",exact
bolcán,noun,"Cruthaítear bolcán nuair a bhrúchtann magma tré dromchla an domhain, bíonn cuma cnoic air agus brúchtann magma, deatach agus luaithreach as poll ag an mbarr.","sliabh coirceogach a chaitheann carraigeacha leáite, luaith dhearg, gal etc. trína bhéal in airde uaireanta",exact
buachaill,noun,Gasúr; fear óg gan phósadh. gasúr cailín,fear óg,narrower
buachaill,noun,"Giolla, seirbhíseach fir, fostaí fir.  cailín",giolla,exact
buachaill,noun,"Buachaill aimsire, buachaill seirbhíse.",giolla,narrower
buachaill,noun,"Buachaill feirme, oibrí feirme.",giolla,narrower
buachaill,noun,"Buachaill tábhairne, freastalaí beáir.",giolla,narrower
buachaill,noun,"Buachaill siopa, freastalaí siopa.",giolla,narrower
buachaill,noun,"Leaid, ógánach.",fear óg,exact
foclóir,noun,"leabhar nó foilseachán a bhfuil liosta focal ann in ord aibítreach (go hiondúil) agus a thuganns a mbrí agus uaireanta fuaimniú, sanasaíocht, agus roinn cainte na bhfocal sin.",leabhar a liostaíonn focail in ord aibítreach agus a thugann a mbrí,exact
foclóir,noun,gluais nó liosta focal in úsáid ag duine nó i gcomhthéacs éigin.,leabhar a liostaíonn focail in ord aibítreach agus a thugann a mbrí,narrower
foclóir,noun,liosta ordaithe stóráilte agus in úsáid ag ríomhaire.,leabhar a liostaíonn focail in ord aibítreach agus a thugann a mbrí,narrower
foclóir,noun,Leabhar eolais nó tagartha ar ábhar ar bith a bhfuil a iontrálacha in ord aibítreach .i. leabhar eolais i bhfoirm fhoclóra.,leabhar a liostaíonn focail in ord aibítreach agus a thugann a mbrí,narrower
cac,noun,cactha,ábhar vásta a scaoiltear as an gcorp,exact
cac,noun,eiscréid; tuar.,ábhar vásta a scaoiltear as an gcorp,exact
cac,noun,"mianach eisíon a fhaightear i bportaigh agus ar féidir miotal íon a bhaint as, cac iarainn go háirithe.",mian ar féidir miotal a bhaint as,exact
páiste,noun,duine óg.,duine beag óg,exact
páiste,noun,mac nó iníon.,mac nó iníon,exact
bord,noun,"Píosa troscáin le barr mín ardaithe ón talamh, ar chosa de ghnáth.","ball troscáin a bhfuil clár leathan air agus cosa faoi, a úsáidtear le haghaidh béilí nó oibre nó imeartha",exact
bord,noun,Bia nó cothú a bhaineann leis an mbord.,bia boird,exact
bord,noun,"(topagrafaíocht) imeall, colbha, críoch, teorainn.","taobh, imeall",exact
bord,noun,taobh loinge.,taobh báid nó loinge,exact
bord,noun,"clár loinge, deic.","clár loinge, deic",exact
bord,noun,gunail.,taobh báid nó loinge,exact
leabhar,noun,"Bailiúchán de leathanaigh ceangailte le chéile le buathal ag taobh amháin. Bíonn na leathanaigh líonta le cló, scríobh nó pictiúir de ghnáth. Tugtar leabhar nótaí air de ghnáth nuair a bhíonn na leathanaigh folamh.",leathanaigh phriontáilte agus iad ceangailte i gclúdach,exact
leabhar,noun,"Saothar intleachtúil déanta as focail, is cuma cén meán (páipéar, comhaid PDF) a bhfuil sé ann.",leathanaigh phriontáilte agus iad ceangailte i gclúdach,related
bóthar,noun,Stiall caol talún le dromchla réitithe le taisteal idir dhá áit a shimpliú.,bealach réidh crua a ngluaiseann feithiclí air ó áit go háit,exact
airgead,noun,dúil cheimiceach mhiotalach lonrach bhán gur 47 a uimhir adamhach agus Ag a siombal idirnáisiúnta.,miotal geal luachmhar ar féidir snas breá a chur air chun earraí agus ornáidí luachmhara a dhéanamh,related
airgead,noun,rud (bonn miotail nó píosa páipéir de ghnáth) go nglactar leis go forleathan mar thomhais luacha agus mar dhóigh luach a mhalartú.,miotal geal luachmhar ar féidir snas breá a chur air chun earraí agus ornáidí luachmhara a dhéanamh,exact
airgead,noun,dath an mhiotail.,miotal geal luachmhar ar féidir snas breá a chur air chun earraí agus ornáidí luachmhara a dhéanamh,narrower
bróg,noun,Ball éadaigh a chaitear ar na cosa chun iad a chosaint agus tacaíocht a thabhairt dóibh.,clúdach leathair do throigh na coise,exact
scairbh,noun,"tanalacht nó uisce tanaí in abhainn, loch nó muir, go hiondúil le grinneall mionduirlinge.",talamh tanaí grin faoi uisce,exact
scairbh,noun,cladach mionduirlinge.,trá ghrin,exact
scairbh,noun,"cúrsa, oitir.",branra nó boilg díreach faoi uisce,exact
sea,noun,"neart, fuinneamh.","neart, fuinneamh",exact
sea,noun,"aird, aire.","suim, aird",exact
sea,noun,meas.,meas,exact
deoch,noun,leacht a óltar.,leacht le hól (uaireanta deochanna meisciúla seachas deochanna boga ar nós líomanáid),exact
deoch,noun,"méid leachta; insileadh, ionlach.",leacht níocháin nó datha,broader
capall,noun,Ainmhí mór ceathairchosach le crúba. Ainm eolaíoch Equus caballus. marc,"ainmhí mór crúbach a bhfuil moing agus eireaball fada air a úsáidtear chun marcaíochta, chun feithiclí a tharraingt, agus chun rásaíochta",exact
capall,noun,láir.,"ainmhí mór crúbach a bhfuil moing agus eireaball fada air a úsáidtear chun marcaíochta, chun feithiclí a tharraingt, agus chun rásaíochta",narrower
capall,noun,"Rudaí neamhbheo a bhfuil cuma an chapaill orthu nó a bhfuil in úsáid i gcaoi cosúil le capall, m.sh. capall maide, capall luascáin.","ainmhí mór crúbach a bhfuil moing agus eireaball fada air a úsáidtear chun marcaíochta, chun feithiclí a tharraingt, agus chun rásaíochta",related
deochadh,noun,tumadh i leacht.,tumadh i leacht,exact
leaba,noun,áit codlata.,áis chodlata,exact
leaba,noun,"beart (leaba loinge, leaba ancaire).",beart (loinge),exact
leaba,noun,"iomaire i ngarraí ina chuirtear glasraí, ceapach.",iomaire,narrower
leaba,noun,"bonn, suíomh (leaba chloiche, leaba sheoide).",iomaire,related
leaba,noun,"I leaba,  in áit, in ionad.","áit, ionad",exact
treas,adjective,tríú,tríú,exact
canúint,noun,"caint, urlabhra.","caint, urlabhra",exact
canúint,noun,"teanga dúchais do náisiún; teanga a labhraítear i measc grúpa nó pobail áirithe, nó i gceantar ar leith.",modh cainte a bhaineann le ceantar nó le haicme ar leith,exact
canúint,noun,Teanga choitianta na ndaoine seachas teanga liteartha.,modh cainte a bhaineann le ceantar nó le haicme ar leith,related
canúint,noun,blas cainte.,"tuin, modh foghraíochta",exact
foirgneamh,noun,Struchtúr mór tógtha ar féidir le daoine dul isteach ann.,"aon rud, ar nós teach, túr etc., atá tógtha nó curtha suas",narrower
foirgneamh,noun,grúpa foirgneamh.,tógáil nó bailiúchán tógálacha,related
guthán,noun,"Gléas a tharchuireann fuaim ó láthair amháin go láthair eile, i bhfoirm leictreach de ghnáth, chun gur féidir le daoine i láithreacha eagsúla chomhrá le chéile. teileafón",teileafón,exact
monarcha,noun,foirgneamh ina dtáirgtear earraí.,foirgneamh a ndéantar earraí don mhargadh ann,exact
oisre,noun,sliogiasc a itear beo as a sliogán.,iasc sliogánach is gnách a ithe beo as an sliogán,exact
sagart,noun,Duine a roghnaíodh chun paidir a dhéanamh ar son an phobail.,pearsa in ord beannaithe a bhfuil údarás aige seirbhísí eaglasta agus sacraimintí a riar,exact
sagart,noun,Fear Caitliceach a d'oirnigh Easpag chun na sacraimintí a dháileadh ar an bpobal Caitliceach.,pearsa in ord beannaithe a bhfuil údarás aige seirbhísí eaglasta agus sacraimintí a riar,exact
gorm,adjective,Ar dhath na spéire; ar dhath na farraige.,dath gorm,exact
glas,adjective,Ar dhath idir buí agus gorm. Ar dhath an fhéir.,dath glas,exact
bándearg,adjective,Dath.,"éadrom dearg, pinc",exact
muinchille,noun,"Píosa éadaigh a shíneann ó ghualainn síos ar léine, ar chóta, nó ar a leithéidí.",an chuid de bhall éadaigh a chlúdaíonn an ghéag ón ngualainn anuas,exact
aos,noun,"dream; grúpa áirithe daoine, m.sh. an t-aos óg.","daoine, dream, lucht",exact
aos,noun,= aosán.,"daoine, dream, lucht",related
aosán,noun,sióg mhioscaiseach.,sióg mhailíseach,exact
aosán,noun,"(cnuasainm) an t-aos sí, na sióga.",sióg mhailíseach,related
flannbhuí,noun,"dath idir buí agus dearg, dath oráiste.","ar dhath an oráiste (Uaine, bán, agus flannbhuí na dathanna atá ar bhratach na hÉireann)",exact
flannbhuí,adjective,"Ar dhath idir buí agus dearg, ar dhath oráiste.","ar dhath an oráiste (Uaine, bán, agus flannbhuí na dathanna atá ar bhratach na hÉireann)",exact
soc,noun,"(Ainmhí nó duine) gob, smut, smuilc.","gob, srón",exact
soc,noun,"(Duine) pus, smut, smuilc; srón mhór fhada.","gob, srón",narrower
soc,noun,"ceann starrach nó sínte ruda; 'srón', m.sh. soc báid, soc eitleáin.","gob, srón",narrower
soc,noun,"buinne, m.sh. soc píobáin, soc spréite.","gob, srón",related
beadaí,adjective,(Duine) mianúil ar rudaí milse; éisealach.,dúilmhear i rudaí milse,exact
beadaí,adjective,"(Bia) milis, caoin.",dúilmhear i rudaí milse,related
beadaí,adjective,ardnósach.,ardnósach,exact
fuisce,noun,uisce beatha,"deoch láidir a dhéantar as sú na heorna, uisce beatha",exact
fuisce,noun,(Iarthar Chonamara) poitín; uisce beatha neamhdhleathach,"deoch láidir a dhéantar as sú na heorna, uisce beatha",related
aice,noun,nead gliomaigh nó portáin,poll portáin nó gliomaigh,exact
macalla,noun,Fuaim frithchaite.,torann a thagann ar ais ó aill nó ó éadan balla nó ó chúl uaimhe,exact
fuaim,noun,Aon rud a chloistear.,"aon ní is féidir a chloisteáil, ar nós caint, ceol nó glór ar bith",exact
fuaim,noun,"Go h-eolaíoch, fuinneamh i bhfoirm tonn i sreabhán.","aon ní is féidir a chloisteáil, ar nós caint, ceol nó glór ar bith",related
asal,noun,"Mamach ceithre-cosach, gaolta leis an gcapall ach níos lú.",ainmhí atá cosúil le capall beag agus cluasa fada air,exact
ús,noun,airgead breise gur gá íoc ar ais nuair a fhaightear airgead ar iasacht.,brabach as airgead a thugtar ar iasacht,exact
gealach,noun,satailít nádúrtha an domhain.,an corpán spéire (satailít an domhain) a thugann solas dúinn san oíche,exact
gealach,noun,satailít nádúrtha pláinéad ar bith.,an corpán spéire (satailít an domhain) a thugann solas dúinn san oíche,related
seabhac,noun,"éan, ball den rang Accipitridae.",éan seilge a thóraíonn éin agus ainmhithe beaga,exact
gluaisteán,noun,"Ineall, le ceithre roth de ghnáth, a úsáidtear chun taisteal ó áit go h-áít ar thalamh.",carr a thiomáintear le hinneall,exact
amhrán,noun,Saothar ealaíne a chantar.,focail agus ceol le chéile agus iad le canadh,exact
gual,noun,breosla dubh crua a bhaintear as an talamh. Déantar é nuair a chuirtear abhár orgánach faoi bhrú ar feadh na mílte bliain faoin talamh.,mianach dubh a bhaintear mar ábhar tine as poill sa talamh,exact
bradán,noun,iasc inite le feoil bhándearg,iasc mór geal a bhfuil feoil bhlasta dhearg air,exact
tuirne,noun,Saghas meaisín ciorclach chun snáth a sníomh.,gléas sníofa a oibrítear leis an lámh nó le maide lústair,exact
staighre,noun,"sraith céimeanna a théann ó leibhéal áirithe go leibhéal eile, go háirithe a leithéid de sraith taobh istigh d'fhoirgneamh a théann ó urlár áirithe go hurlár eile.","céimeanna idir dhá urlár i dteach, agus ráille orthu de ghnáth",exact
staighre,noun,urlár nó stór foirgnimh.,stór,exact
liathróid,noun,"Ní, sféarúil de ghnáth, a úsáidtear i gcluichí spóirt.",ball cruinn a n-imrítear cluichí leis,exact
meán,noun,lár.,i lár baill,exact
meán,noun,(matamaitic) téarma idirmheánach i seicheamh .i. i lár an tseichimh.,leath slí idir mór agus beag,related
meán,noun,coim.,i lár baill,exact
scáthán,noun,"dromchla mín, gloine le sreath lonrach ar a cúl de ghnáth, a frithchaitheann íomhá cruinn de cad atá os a comhair.",gloine atá cóirithe ar a cúl (le hairgead beo etc.) le go bhféadtar scáth a fheiceáil ann,exact
peann,noun,"uirlis a úsáidtear chun scríobh, le dúch de ghnáth.",uirlis chun scríobh le dúch,exact
matán,noun,Fíochán a úsáideann animhithe chun gluaiseacht.,féitheog,exact
portán,noun,ainmhí mara le creatlach seachtrach.,iasc sliogáin agus cúig phéire crúb air - ordóga an chéad phéire acu,exact
tuáille,noun,Píosa éadach nó páipéar a úsaidtear chun rudaí a thriomú.,éadach tiubh bog chun triomaithe tar éis níocháin,broader
dréimire,noun,trealamh le céimeanna a úsáidtear chun dreapadh in airde ar rudaí.,fráma fada agus céimeanna (nó rungaí) ann idir dhá phíosa fhada adhmaid nó miotail agus a chuirtear ina sheasamh le dreapadh air,exact
subh,noun,bia milis a dhéantar as sméara agus siúcra.,torthaí bruite le siúcra go mbíonn siad ramhar bog,exact
arán,noun,"bia cócaireáilte déanta le grán, cruithneacht mar shampla, agus comhábhair eile.",bia a dhéantar as plúr nó min,exact
tairne,noun,"Ní beag tanaí, déanta as miotal de ghnáth, le bior air. Úsáidtear iad chun ábhair a ghreamú le chéile.",píosa caol biorach miotail chun píosaí adhmaid a ghreamú,exact
féar,noun,Saghas planda.,an fás glas a chlúdaíonn goirt agus páirceanna agus a n-itheann ainmhithe é,exact
ubh,noun,"Structúr cosainteach, beagnach sféarúil a thairgeann éin, reiptílí agus ainmhithe áirithe eile, ina leanann ainmhí óg ag forbairt lasmuigh de chorp a mháthair.",an rud a bheireann éan nó feithid agus blaosc thanaí air (Is ann a mhaireann an rud óg go dtí go dtugann an mháthair gor dó),exact
pictiúrlann,noun,foirgneamh ina dtaispeáintear scannáin.,foirgneamh a dtaispeántar scannáin nó pictiúir bheo ann,exact
toitín,noun,Foirm ina gcaithtear tobac.,tobac mionaithe agus é fillte i bpáipéar mín le caitheamh,exact
lacha,noun,éan uisce den chlann Anatidae le gob leathan réidh.,éan uisce agus gob fada leathan air (Tugtar lacha ar an gceann baineann freisin agus bardal ar an gceann fireann),exact
gabhar,noun,"Mamach ceithre-cosach den rang Capra, gaolta leis an gcaora.",ainmhí cosúil le caora a bhfuil meigeall féasóige air,exact
rothar,noun,"feithicil le dhá roth, gain inneall a ghluaiseann de thoradh oibre an taistealaí.",feithicil dhá roth a thiomáintear le troitheáin,exact
bioróir,noun,gléas chun faobhar a chuir ar bhior pheann luaidhe.,uirlis le peann luaidhe a bhiorú,exact
dobharchú,noun,mamach ceathairchosach a mhaireann ar thalamh agus san uisce.,madra uisce,exact
uan,noun,caora óg.,caora óg faoi bhun bliana,exact
am,noun,An uair ar an gclog.,an uair ar an gclog,exact
am,noun,"Pointe ama áirithe, ócáid (an t-am seo inné).","pointe ama áirithe, ócáid",exact
am,noun,Uair nó aimsir speisialta (am dinnéir).,uair nó aimsir speisialta,exact
am,noun,Tráth ceart (bheith in am do rud).,tráth ceart,exact
am,noun,Séasúr (an t-am seo de bhliain).,séasúr,exact
am,noun,"Ré, aimsir (an t-am fadó).","ré, aimsir",exact
