lemma,pos,sense_source,sense_target,semantic_relationship
црква,noun,"зграда у којој се врше верски обреди, храм, богомоља.",Место за јавно богослужење (посебно хришћанско).,exact
црква,noun,служба у цркви.,Служба која се обавља у цркви.,exact
црта,noun,"гранична, међашна линија (стварна или замишљена) која дели, одваја што од чега.",Просторна локација коју дефинише стварно или замишљено једнодимзенионално ширење.,related
црта,noun,"оно што је изразито, обележје, особина, особеност.",Карактеристично својство које дефинише очигледну индивидуалну природу нечега.,exact
цртати,verb,"правити, вући црте, линије.",Остављати или цртати по површини.,exact
цртати,verb,правити цртеж:,"Направити цртеж нечега; представити цртањем, оловком, кредом итд. на површини.",exact
црвенперка,noun,врста рибе црвених пераја,Врста рибе црвених пераја.,exact
црвенперка,noun,мала птица црвенкастог перја из пор. дроздова,велики батокљунац који живи у четинарским шумама,related
чинилац,noun,"оно што условљава постојање чега, узрок или услов, покретачка снага, фактор.",Било шта што узрочно доприноси резултату.,exact
чинилац,noun,број који се множи с неким другим бројем.,Било који од бројева или симбола који чине производ када се међусобно помноже.,exact
чинити,verb,"радом (физичким или умним) деловати тако да нешто постане друкчије правити, израђивати, стварати, творити.","Учинити да се нешто деси, не мора бити с намером.",broader
чинити,verb,"вршити какву радњу, бавити се каквом активношћу, бити заузет, забављен чим, радити",Поступати тако да то доведе то настајања нечега.,related
чинити,verb,поступати према коме или чему.,Изводити неку акцију.,related
чинити,verb,"износити, сачињавати.",Формирати или бити састав нечега.,related
чист,adjective,"који је без прљавштине, без мрља, који није упрљан, уредан;",Без прљавштине или нечистоће; онај који има навику да буде чист,exact
чист,adjective,"који пази на чистоћу, уредан, педантан:","онај који је без недостатака, неправилности и нечистоће",related
чист,adjective,"морално беспрекоран, који не садржи у себи никакве лажи, преваре, поштен, частан.",Користи се за особе и њихово понашање; који нема мана; безгрешан.,broader
читати,verb,с разумевањем пратити оно што је написано или наштампано на страном језику.,Интерпретирати нешто што је написано или наштампано.,narrower
читати,verb,"изговарати гласно оно што је написано или наштампано, држећи текст у рукама или говорећи напамет, декламовати, рецитовати:","Гледати, тумачити и изговарати наглас нешто што је написано или одштампано",exact
чизма,noun,"врста обуће, обично кожне, која сеже до колена или преко колена.",Обућа која покрива цело стопало и потколеницу. ,exact
члан,noun,"припадник неког друштва, удружења, организације, народа и сл.:",Једна од особа које чине социјалну групу (посебно особе које су приступиле некој организацији).,exact
члан,noun,"одељак, поглавље неког текста (закона, уредбе, правилника) који говори само о једној ствари или развија само једну мисао;","Посебна секција законског документа, какви су статути, уговори или тестаменти.",broader
члан,noun,део веће целине.,Било шта што припада скупу или класи.,related
члан,noun,"врста речи несамосталног значења која у неким језицима даје посебну смисаону или граматичку вредност, речи уз коју се налази:",детерминатор који одређује специфичност референције именичке синтагме,exact
чланак,noun,"краћи састав о каквом питању из политике, науке, књижевности и сл.",Нефикционална проза која чини независан део публикације.,exact
чланак,noun,"зглавак, зглоб (на нози или руци), обично глежањ.","Зглоб који спаја стопало и потколеничну кост, тарсус.",broader
чопор,noun,"скуп животиња, крдо.",Група животиња које лове.,broader
чопор,noun,"велики број, мноштво, гомила.",Гомила у покрету.,related
човек,noun,"друштвено биће које мисли, говори и располаже способношћу да ствара оруђа и да се њима служи у процесу друштвенога рада.",Генеричко корошћење речи за реферисање било ког људског бића.,broader
човек,noun,"зрео, одрастао мушкарац.",Одрасла мушка особа (насупрот жени).,exact
човек,noun,"муж, супруг.","Мушка особа која игра значајну улогу (муж, љубавник или момак) у животу одређене жене.",exact
чути,verb,"опазити, опажати слухом, примити, примати звукове чулом слуха.",Осетити звук путем чула слуха.,exact
чути,verb,"моћи опажати звукове, имати дар, способност слуха.",Чути и разумети.,related
чувар,noun,онај који чува:,Пазитељ који је задужен да будно мотри.,exact
чувар,noun,"заштитник, бранилац.",Особа која се брина о људима и њиховој својини.,related
фамилија,noun,"породица, обитељ.",Људи који потичу од истог претка.,narrower
фамилија,noun,"скуп сродних биљних или животињских врста, породица.",Таксономска група која садржи један или више родова.,exact
фаун,noun,"ниже божанство у староримској митологији, добри дух шума и ливада, заштитник пастира и стоке, сатир.",у римској митологији древно сеоско божанство; у грчкој митологији му одговара бог Пан,exact
фигура,noun,"лик човека или животиње у сликарству или скулптури, кипарству; слика, цртеж.",репрезентација особе (посебно у облику скулптуре),related
фигура,noun,"облик људског тела, стас, раст.",Разна имена за тело људског бића.,exact
фигура,noun,"обрис, контура; облик уопште; распоред предмета, појава у неком поретку или реду.","Комбинација тачака, правих и равни које формирају виђив и опипљив облик.",broader
фигура,noun,"нарочита употреба речи која им даје особиту изражајност, сликовит израз.",Нешто у уметничком делу чија је намера да постигне одређени ефекат.,exact
филе,noun,"месни део на хрптењачи, кичми животиње; печеница",меко месо у пределу крста са обе стране кичменог стуба,exact
фокус,noun,"тачка у којој се секу светлосни зраци после одбијања од издубљеног огледала или после преламања кроз сочиво, жижа.",тачка сабирања светлости (или другог исијавања) или тачка из које се расипа,exact
фокус,noun,"средиште, жариште, центар.",Концентрација пажње или енергије на нешто.,related
фонд,noun,"новчана и сл. средства прикупљена у неку сврху, заклада:",резерва новца остављена на страну за неку сврху,exact
фонд,noun,имовина у новцу и др. вредностима.,Имовина коју поседује једна страна (повереник) зарад друге (опуномоћеника).,broader
фортисимо,noun,динамична ознака за веома снажно извођење тонова.,динамичка ознака за врло снажно извођење тонова,exact
фортисимо,noun,"још виши глас него форте, врло јако, снажно певање, свирање, снажан глас.","још виши глас него форте, врло јако, снажно певање или свирање",exact
фронт,noun,"у рату подручје, линија на којој се води борба међу двема војскама;",Линија на којој се срећу супротстављене војске.,exact
фронт,noun,гранично подручје између хладне и топле струје.,Атмосферски феномен који се ствара на граници између две различите масе ваздуха.,exact
функција,noun,"вршење неке радње или службе; дужност, посао, служба.",Акције или активности које су додељене или се захтевају од особе или групе.,exact
функција,noun,"сврха, намена, циљ.",За шта се нешто користи.,exact
функција,noun,специфичан рад органа и рад организма уопште.,Органски процес који се одиграва у телу.,exact
хаљина,noun,одећа женска или мушка која се носи поврх рубља.,једноделна одећа за жене; има сукњу и блузу,broader
хаљина,noun,мушко одело састављено од више делова; сви делови женске одеће за једну прилику.,одећа посебног стила или за посебну прилику,exact
хашиш,noun,источњачка опојна дрога.,Биљка јаког мириса од чијег се осушеног лишћа прави много халуцинантних дрога; сировина за тканину и ужад.,narrower
хашиш,noun,индијска конопља,Прецишћени екстракт индијске конопље; користи се као халуциноген.,broader
патити,verb,"имати какву болест, боловати; трпети јак физички бол, мучити се.",Не осецати се добро или удобно.,exact
патити,verb,"осећати морални, душевни бол, патњу.",Бити подвргнут (емоционалном болу).,exact
патријаршија,noun,подручје којим управља патријарх.,Јурисдикција патријарха.,related
патријаршија,noun,зграда у којој се налази та управа.,Зграда у којој се налази црквена управа на чијем је челу патријарх.,exact
пепељуга,noun,женска особа пепелом упрљана; запостављена девојка или жена.,млада девојка коју спашавају од зле маћехе и злих сестара добра вила и принц,broader
пепељуга,noun,"врста еје, еја ливадарка",Смеђа европска еја.,exact
пепељуга,noun,дивља лобода,Честа европска коровска биљка.,exact
пешак,noun,војник који служи у пешадији.,војник који се бори на ногама с малим оружјем,exact
пешак,noun,"фигура у шаху, пион, пијурац:","најслабија фигура у шаху, креће се само унапред, а избацује противника само са стране",exact
песма,noun,"низ речи или људских гласова изговорених вишим и нижим тоновима различита трајања, сложеним у мелодрамску целину.",Кратка музичка композиција са речима.,related
песма,noun,"песничка творевина у стиховима, понајвише лирско (може се удесити и за певање).",Композиција написана у метричком облику чиме се добијају ритмички редови.,exact
певање,noun,гл. им. од певати.,чин извођења вокалне музике,exact
певање,noun,садржајно заокружен део или одломак каквог великог спева или епа:,већа целина дуге песме,related
пијукавац,noun,врста птице из реда пијукавки:,Нека од многобројних приобалних птица чврсте грађе које имају раван кљун и велика зашиљена крила.,exact
пијукавац,noun,"биљка из пор. уснатица, мртва коприва","Биљка из породице уснатица, мртва коприва.",exact
пилав,noun,густо кувани пиринач с месом пилећим или овчјим.,"пиринач и пилетина кувани заједно, са или без других састојака, зачињено по жељи",broader
писање,noun,гл. им. од писати (се).,Активност уобличавања нечега у писани облик.,exact
писање,noun,рад на књижевном пољу.,чин стварања писаних дела,exact
писати,verb,"бележити на папиру, хартији или др. слова, бројке, цифре итд.",Остављати или цртати по површини.,related
писати,verb,"стварати, састављати какав текст, књижевно дело.",Производити литерарно дело.,broader
писати,verb,"обраћати се коме писмено, писмом јављати, саопштавати, слати писмо.",Пренети или изразити у писаном облику.,exact
пискав,adjective,"врло висок, танак, пиштав, крештав (о гласу, звуку).","За звук, посебно глас.",exact
пити,verb,уносити кроз уста у свој организам какву течност и гутати је:,Узимати течност.,exact
пити,verb,"имати склоност пићу, проводити време пијући жестока пића, бити алкохоличар, опијати се.",Пити велике количине алкохолних пића; бити алкохоличар.,exact
пиво,noun,"пиће које се прави од јечма, хмеља, квасца и воде.","општи назив за алкохолна пића са укусом хмеља, добијена ферментисањем неке житарице (или мешавине житарица)",exact
пиво,noun,пиће уопште.,општи назив за пиво добијено са врха при ферментацији квасца; у неким америчким државама (по закону) пиво са више од 4% алкохола,broader
план,noun,"цртеж, нацрт који у одређеном мерилу, размеру приказује на равној површини какво место, предео, грађевину и сл., пројек(а)т:",Шема устројства.,narrower
план,noun,замисао о радњама које треба извршити да се постигне жељени циљ.,Низ корака које треба учинити или циљева које треба постићи.,exact
племе,noun,"заједница људи у првобитном, преткласном друштвеном уређењу повезаних родовским везама, заједничким језиком и територијом.",друштвена група (обично пре појаве писма),exact
племе,noun,"род, обитељ, породица.",Група људи који су крвно повезани или преко брака.,exact
пљескавица,noun,испржено на жару млевено и спљескано месо.,"Испржено на жару млевено, зачињено и спљескано месо.",exact
плоча,noun,"нарочито удешен плоснати, танки комад од разног материјала за различите сврхе.",Равно парче материјала направљено за специјалну намену.,exact
плоча,noun,"тврде, покретљиве коштане љуске које заштићују тело неких животиња (риба, гуштера, змија).",патолошке промене у виду плочастих површина на телу или у њему.,related
пловити,verb,"кретати се по површини воде у одређеном правцу помоћу нарочитих направа (о чамцу, броду, лађи).",Кретати се са клиским покретима.,exact
пловити,verb,пливати (1б),Остајати на течној површини; не тонути.,exact
побити,verb,"лишити живота, убити једно за другим.",Убити велик број људи без разлике.,exact
побити,verb,"оповрћи чију тврдњу, доказати супротно од онога што други тврди.",Доказати да је нешто погрешно.,exact
почетак,noun,"први, уводни део чега;",Чин почињања нечега.,exact
почетак,noun,"полазна тачка, исходиште.","Место где нешто почине, где настаје.",exact
почетак,noun,"извор, узрок.",Са чиме нешто почиње.,exact
поделити,verb,"раставити на делове, раздвојити.",Учинити да се нешто подели или одвоји.,exact
поделити,verb,извршити деобу давши свакоме део.,Разделити на мале комаде.,narrower
поделити,verb,"дати, предати, доделити што (као дар, признање).",Пренети некоме свој став или мишљење,related
поделити,verb,извршити рачунску операцију дељења.,Извршити операцију дељења.,exact
подигнути,verb,"узети, преузети, примити место другога.",Уклонити (артикал) из извора.,related
подигнути,verb,"дати чему виши положај, померити, преместити што на више место, нагоре.",Померити са нижег на виши положај.,exact
подигнути,verb,"дати обичан, нормалан положај чему што је пало, преврнуло се; помоћи некоме који је пао да устане, да опет заузме стојећи положај:",Ставити у усправан положај.,broader
подигнути,verb,"покренути на какву активност, одушевити за што.",Узроковати будност и енергичност.,exact
подигнути,verb,"повећати, повисити.",Подићи или повећати.,exact
подигнути,verb,"покренути се, преместити се с нижег на више место, попети се, успети се:",Померити са нижег на виши положај.,exact
подигнути,verb,"устати, заузети усправан положај.",Ставити у усправан положај.,broader
подигнути,verb,"увећати се, повисити се.",Подићи или повећати.,related
поднети,verb,"изнети, предложити што на разматрање, оцењивање.",Истаћи за расправу или прихватање.,exact
поднети,verb,"издржати што неугодно, тешко; отрпети, претрпети.",Подносити неког или нешто непријатно.,exact
подручје,noun,"област, крај, територија која се налази под чијом влашћу; делокруг власти.",Зона града или вароши омеђена из административних разлога.,related
подручје,noun,"део организма, тела у којему се налази какав орган и простор његова непосредног деловања:",део живог бића који има посебну функцију или га напаја дата артерија или нерв,exact
подручје,noun,"област какве делатности (научне, привредне, социјалне, спортске и сл.), сфера пословања, занимања и сл.",предмет проучавања,broader
поглед,noun,"управљеност очију на кога или што, правац гледања:",Чин опажања нечега визуелно.,related
поглед,noun,"начин гледања на што, мишљење, суд о чему, схватање, назор, уверење:",Лична веровања и ставови који се не заснивају на доказу или извесности.,exact
погодити,verb,"тачно одредити, приказати кога, што (интуицијом, инстинктом, или као резултат нарочитих испитивања, студија).",Погодити тачно; решити нагађањем.,broader
погодити,verb,"наћи, пронаћи (као резултат тражења, сналажења).",Погодити тачно; решити нагађањем.,related
погодити,verb,"ударити у циљ, мету при стрељању, гађању, бацању чега и сл.",погодити пројектилом из оружја,broader
погодити,verb,"снаћи, задесити; оштетити, окрњити.",Имати утицаја на нешто.,related
покренути,verb,"помакнути, померити с места.",Изазвати да се нешто покрене напред употребивши силу.,broader
покренути,verb,ставити у покрет:,Пустити у покрет; иницирати почетак.,exact
покренути,verb,"дати побуду, вољу, подстицај некоме за нешто, склонити га на нешто.",Узроковати будност и енергичност.,related
покренути,verb,изазвати какав осећај.,"Изазвати емоције, осећања или одговорност.",narrower
покренути,verb,"повести, навести, упутити, подстаћи.",Преузети вођство или иницијативу: учествовати у развоју нечега.,exact
покрет,noun,"стање супротно мировању, мицању, кретање.",Природни догађај који укључује промену позиције или локације нечега.,exact
покрет,noun,организована друштвена делатност с одређеним циљем:,Група људи који имају зејдничку идеологију и који заједно покушавају да остваре одређене опште циљеве.,exact
поље,noun,"отворено равно земљиште, равница.",Праче земље на коме нема дрвећа и које је обично ограђено.,broader
поље,noun,"област, подручје, делокруг, сфера какве делатности, посла, рада, занимања:",Подручје знања или интересовања.,exact
поље,noun,простор у границама кога се јавља деловање каквих сила:,простор око тела које зрачи у коме његове електромагнетне осцилације могу да делују на слично тело које с њим није у контакту,exact
положај,noun,"место на којем нешто лежи, налази се с обзиром на нешто друго, смештај у простору.",Позиција или начин на који је нешто смештено.,exact
положај,noun,"место и распоред војске у рату, бојна линија, фронт.",Тачка коју трупе заузимају из тактичких разлога.,exact
положај,noun,"место које неко има у друштву, у служби или звању, ранг.",Одговарајућа или одређена друштвена ситуација.,exact
положај,noun,"стање, ситуација условљена приликама, околностима у којима се ко, што налази.",Стање у којем сте се нашли.,exact
положај,noun,"држање, став тела и делова тела:",Позиција или устројство тела и његових удова.,exact
положити,verb,"ставити, метнути да лежи.",Ставити у водораван положај.,exact
положити,verb,"поставити што на један одређен, установљен начин.",Ставити на одређено место или апстрактну локацију.,exact
положити,verb,"дати чему коначан облик, утврдити; установити; створити.",Поставити.,broader
помешати,verb,саставити разнородне честице у целину тако да се једне налазе међу другима.,Смешати у једну целину.,exact
помешати,verb,"додати, долити, примешати.",Комбиновати у једно.,related
помести,verb,метући очистити.,Очистити метењем.,exact
помести,verb,"довести у забуну, збунити, смутити.",узроковати да се неко збуни или емоционално помете,exact
помести,verb,"доћи у стање збуњености, смутити се.",узроковати да се неко збуни или емоционално помете,exact
помести,verb,пореметити се.,изазивати збуњеност и немогућност да се рационално размишља,broader
помоћ,noun,радња којом се олакшава рад или положај другога.,Активност која помаже задовољењу неке потребе или напретку неког настојања.,related
помоћ,noun,помагање у лечењу:,Професионални третман болести или повреде.,related
помоћница,noun,"једногодишња биљка бела цвета, јајаста листа",Једногодишња биљка са белим цветом и јајастим листовима.,exact
помоћница,noun,"породица биљака са цветовима састављеним од по 5 латица и венчића у чашици и по 5 прашника и тучкова, у коју спадају кромпир, парадајз, паприка, дуван и др.",Неки од плодова биљака из породице Соланацеае; посебно из родова Соланум; Цапсицум; Лyцоперсицон.,broader
понос,noun,осећање сопствене вредности или вредности неког свог блиског.,Осећање самопоштовања и личне вредности.,broader
понос,noun,осећање задовољства због постигнутог успеха.,задовољство сопственим (или туђим) достигнућима,exact
поправити,verb,"уклонити, одстранити квар, штету, неисправност у чему, учинити добрим, прикладним за рад, употребу, оправити:",Поправити заменом дела или састављањем одвојеног или сломљеног.,broader
поправити,verb,"уклонити недостатке, погрешке, исправити:",Учинити нешто исправним или коректним.,exact
пораст,noun,"раст, растење.",талас који подиже површину воде или земље,broader
пораст,noun,"бројчано повећање, увећање.",Количина за коју нешто расте.,exact
порцелан,noun,"минерална маса од финих врста глине с разним примесама, која се употребљава за израду разних предмета.",керамички предмети направљени од мање-више провидне керамике,broader
порцелан,noun,посуђе од такве масе.,посуђе направљено од високо квалитетног порцелана,broader
порција,noun,"одмерена количина чега, оброк.",Појединачна количина хране или пића као део оброка.,related
порција,noun,"посуда, суд за јело.",Метални контејнер за чување суве хране као чај или брашно.,related
поредак,noun,"стање правилности, уређености, систематичности у чему.","Утврђено уобичајено стање, посебно у друштву.",exact
поредак,noun,утврђени распоред делова који чине једну целину:,Логично и разумљиво уређивање одвојених елемената.,related
поредак,noun,"правила, прописи по којима се врши нешто; постојеће друштвено, државно уређење, режим.",Облик управљања друштвеном организцијом.,exact
поредити,verb,"утврдити сличност и различност, сравнити.",Испитати и утврдити сличности или разлике.,exact
поредити,verb,"одредити степен, ступањ поређења придева.",формирати компаратив или суперлатив придева или прилога,broader
поредити,verb,"сравнити се, успоредити се.",формирати компаратив или суперлатив придева или прилога,related
порекло,noun,"припадност по рођењу (породици, класи, нацији и сл.), род.",Рођачке везе потомка са родитељима.,related
порекло,noun,"почетак, извор.","Место где нешто почине, где настаје.",exact
посао,noun,"рад, деловање на извршењу чега, физички или умно).",Активаност која је усмерена ка томе да се нешто уради.,exact
посао,noun,рад као стално занимање.,Неодређено спецификована преокупација.,related
посао,noun,"задатак, дужност, обавеза.",Неки посао који предузет или се планира.,broader
посао,noun,"погодба, споразум, договор.","Чин обављања посла унутар групе или између група, као код пословних активности.",narrower
поседовати,verb,"држати у поседу, имати као својину.",Бити власник нечега.,exact
поседовати,verb,имати као својство или особину.,Имати као својство.,exact
послужити,verb,"бити употребљен, добро доћи у какву сврху.","Служити сврси, улози или функцији.",exact
послужити,verb,"понудити, почастити, погостити.",Понудити некоме храну или пиће,broader
посредник,noun,"онај који помаже да дође до погодбе, до споразума, да се успешно сврши какав посао.",пословни човек који купује или продаје за другог у замену за провизију.,broader
посредник,noun,онај који помаже да дође до измирења међу онима који се свађају или парниче.,преговарач који служи као веза између парничних страна,narrower
пошта,noun,"установа која се бави преносом разноврсних пошиљака (писама, новина, мањих пакета, новца и сл.) према утврђеној тарифи.",Систем помоћу кога се преко поште шаљу поруке.,broader
пошта,noun,"оно што се шаље, доставља путем такве установе.",Вреће писама и пакета које се преносе поштанском службом.,broader
постати,verb,"настати, појавити се, створити се.","настати, почети постојати",exact
постати,verb,"учинити се ким, претворити се, променити се у кога или у што (као непотпуни глагол с предикатним ном. или инстр.).",Ући или попримити одређено стање.,broader
поставити,verb,"учинити да нешто стоји, да буде у усправном положају:",Челичну грдосију тешку укупно 2160 тона поставили су на стубове и намонтирали неимари Мостоградње.,broader
поставити,verb,"изнети, предложити.",Ставити на разматрање или дискусију.,exact
поставити,verb,"метнути, сместити, наћи место за што, положити.",Ставити на одређено место или апстрактну локацију.,narrower
поставити,verb,довести што у такво стање да може служити својој сврси:,Увести проблем или питање које треба да се реши.,related
поставити,verb,"сместити на одређено место, распоредити, разместити.",Уредити или поставити у жељени поредак.,related
поставити,verb,"наместити у какву службу, изабрати ради вршења какве дужности; подићи, уздићи на какав положај.","Доделити дужност, одговорност или обавезу некоме.",broader
поштовање,noun,гл. им. од поштовати (се).,Став дивљења или поштовања.,exact
поштовање,noun,поздрав при сусрету или растанку с ким.,осећање усхићеног одобравања и наклоности,related
посудити,verb,"дати коме што у зајам, позајмити.",Дати привремено; уступити на одређено време.,exact
посудити,verb,"примити, позајмити од кога.",Добити привремено.,exact
посветити,verb,учинити светим извршивши над чим црквени обред.,Учинити светим помоћу религијских обреда.,narrower
посветити,verb,"унапред наменити коме што (најчешће књижевни или научни рад) као знак поштовања, љубави, захвалности.",изразити захвалност посвећивањем нечег урађененог или написаног некоме,exact
потамнити,verb,учинити што тамним.,Учинити тамним или тамнијим.,exact
потамнити,verb,"ослабити, покварити.",учинити прљавим обично после излагања ваздуху,related
потез,noun,покрет руком или каквим предметом.,Појединачна потпуна кретња.,narrower
потез,noun,"поступак (обично неочекиван) учињен с каквом намером, циљем, корак, гест.",Чин одлуке да се уради нешто.,narrower
рабарбар,noun,"зељаста дугогодишња биљка из пор. троскота, која се употребљава и као украсна и у лекарству, равед",Зељаста дугогодишња биљка из породице троскота која се употребљава и као украсна биљка и у лекарству.,exact
рачун,noun,саставни део назива за поједине партије у књиговодству и за новчане односе између банке и њених комитената у банкарству:,"Формални уговорни однос успостављен ради обезбеђивања сталних банкарских, пословних или берзанских услуга.",related
рачун,noun,новчани износ утрошене робе и искоришћених услуга.,Цена зарачуната за неки артикал или услугу.,exact
рачунати,verb,"вршити неку рачунску радњу, изводити рачун, срачунавати.",Извршити математичко израчунавање.,exact
рачунати,verb,процењивати,Проценити да је нешто могуће.,exact
рачунати,verb,"ослањати се, уздати се; бити уверен у добивање нечега, очекивати нешто.",Имати поверење или веру у некога.,broader
рачунати,verb,"сврставати (у неку категорију), сматрати (за некога, за нешто), бројати, убрајати.",сматрати делом нечега,related
рачунати,verb,"одређивати, одмеравати цену",Извршити математичко израчунавање.,related
радити,verb,"обављати какав посао, бити заузет каквим послом; бити трајно ангажован на неком послу, бавити се каквом делатношћу као занимањем; бити у радном односу.",Бити запослен.,related
радити,verb,поступати.,Изводити неку акцију.,related
радити,verb,"односити се на некога, на нешто, тицати се некога или нечега.","Радити се о нечему, бити релевантно за нешто; односити се на нешто.",exact
радити,verb,"производити неки учинак, имати утицај, деловати.","Када се примени, функционише како се очекује.",related
радити,verb,"правити, стварати, израђивати; спремати, припремати.",Чинити или обављати неку акцију.,related
радник,noun,"онај који ради, обавља одређени посао, онај који се бави одређеном делатношћу (било умном, било физичком).",Оосба која има и бави се неким специјалним занимањем.,related
радник,noun,"мрав који ради (добавља храну, одржава гнездо, негује младе).",Стерилни члан колоније друштвених инсеката која тражи храну и пази на ларве.,narrower
радња,noun,"акт, чин, покрет; поступак, дело.",Нешто урађено (обично супротно од нечег реченог).,exact
радња,noun,"организација (обично мања, са мањим бројем радника) у чијем оквиру неко обавља своју привредну делатност:",Мало радно место на коме се израђују рукотворине и мануфактура.,related
радостан,adjective,"добро расположен, испуњен радошћу, раздраган, весео.",који је срећан или указује на срећу,exact
радостан,adjective,"који причињава некоме веселост, добро расположење.",који показује или изазива весеље и задовољство,exact
раме,noun,део тела између врата и надлактице.,Део тела између врата и надлактице.,exact
рана,noun,"повреда телесног ткива изазвана оштрим оруђем, опекотином, озеблином и др.",Било која пукотина на кожи или органу изазвана насилно или хируршким захватом.,related
распоредити,verb,"извршити распоред нечега, разместити",Средити по класама или категоријама.,related
распоредити,verb,упутити на дужност.,Доделити на неки положај.,exact
распоредити,verb,"заузети одговарајуће место, разврстати се, разместити се.",Доделити на неки положај.,exact
раст,noun,"постепено повећавање телесне масе (нарочито повећање висине) као последица размножавања ћелија, растење.",У биологији органски процес повећања телесне масе; потпуно билошки ток догађаја у коме се организми постепено мењају из једноставнијих у сложеније облике.,broader
раст,noun,"увећавање износа, количине нечега, пораст:",процес повећавања,narrower
раставити,verb,"уопште раздвојити на саставне делове, разграничити делове целине; разлучити",поделити или повезати цртицом,related
раставити,verb,"раширити, размаћи",Раздвојити што је састављено.,related
раставити,verb,"растати се, одвојити се.","учинити дисјунктним, одвојеним или неповезаним",related
раставити,verb,развести се (о мужу и жени).,Раздвојити што је састављено.,related
расти,verb,"постајати већи, виши, напредовати, развијати се (о младим људским бићима и животињама).","Повећавати величину природним процесом; о жвој твари, као што су биљке и животиње.",exact
расти,verb,"изграђивати се, сазревати.",Имати корене у нечему.,related
растурити,verb,"упропастити; уништити, разорити.",Уништити потпуно.,exact
растурити,verb,"расути, разбацати",Разместити на раштркан начин.,broader
растворити,verb,"раширити, раскрилити, отворити, расклопити; раскопчати.",Променити из склопљеног или скупљеног стања у отворено.,narrower
растворити,verb,помешати са другом материјом (обично течношћу) правећи раствор.,узроковати да се нешто претвори у отопину,exact
растворити,verb,"помешати се с другом материјом (обично течношћу) чинећи раствор, отопити се.",узроковати да се нешто претвори у отопину,exact
расути,verb,"разбацити на све стране, распршити, расејати.",Разместити на раштркан начин.,related
расути,verb,нештедице утрошити на разне ствари.,Трошити неопрезно и лакомислено.,exact
разбибрига,noun,"забава, увесељавање.",активност која пријатно заокупља нечије слободно време,exact
разбибрига,noun,"оно што служи за разоноду, забаву, што пружа задовољство.",Забава која изазива пријатна интересовања и одвлачи пажњу од брига и непријатности.,exact
разбистрити,verb,"учинити бистрим, прозирним; учинити сјајним, испунити сјајем, живошћу.","Учинити јасним, светлим, прозрачним.",exact
разбистрити,verb,"објаснити, разјаснити, рашчистити.",Ослободити конфузије или двосмислености; учинити јасним.,exact
разбистрити,verb,"ослободити се смркнутости, намргођености, постати ведрији",Ослободити конфузије или двосмислености; учинити јасним.,narrower
раздвојити,verb,"раставити на делове, у групе, поделити; прецепити, предвојити.",Учинити да се нешто одвоји или растави,related
раздвојити,verb,"усмерити на разне стране, размаћи.",Раздвојити што је састављено.,related
раздвојити,verb,"поделити се на делове, на групе, подвојити се; упутити се различитим правцима, растати се.",Учинити да се нешто одвоји или растави,related
разговарати,verb,"обраћати се речима (један другоме), говорити, причати; расправљати о нечем, саветовати се, договарати се.","Размењивати мисли, причати са неким.",broader
разговарати,verb,разговарати (1).,"Размењивати мисли, причати са неким.",narrower
разговор,noun,"међусобни говор, причање двају или више лица; усмена размена мишљења, расправљање.",Говор који се користи за неформалну размену погледа.,related
